Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
RIOT,Riot Blockchain Inc,68,FINANCE,Financial Svcs-Specialty,14.79,-5,-0.78,7907,-35.3,23,9,B,C,D+,32
TRU,TransUnion,68,FINANCE,Financial Svcs-Specialty,100.51,-3.6,-3.75,1039,4.4,94,43,B,A,E,79
XYF,X Financial Cl A Ads,68,FINANCE,Financial Svcs-Specialty,3.17,0,0,10,-76.4,69,23,B,D,D-,39
AES,A E S Corp,69,UTILITY,Utility-Electric Power,21.76,-2.5,-0.55,5251,2.6,84,32,B,A,D-,67
NEE,Nextera Energy Inc,69,UTILITY,Utility-Electric Power,75.77,-2.5,-1.96,7945,-19.9,74,43,B,C,E,66
PNM,P N M Resources Inc,69,UTILITY,Utility-Electric Power,45.52,1.5,0.69,691,-28.5,57,46,B,B,C+,66
ACY,Aerocentury Corp,70,FINANCE,Comml Svcs-Leasing,6.15,-4.2,-0.27,27,-97,59,99,B,E,B-,64
RCII,Rent-A-Center Inc,70,FINANCE,Comml Svcs-Leasing,39.1,-2.3,-0.91,814,-1.6,98,25,B,A,D-,71
URI,United Rentals Inc,70,FINANCE,Comml Svcs-Leasing,324.43,-0.5,-1.79,798,3.8,91,55,B,A,C-,88
BYND,Beyond Meat Inc,71,FOOD/BEV,Food-Meat Products,58.01,-9.4,-5.99,3780,-3.6,1,9,B,D,B-,21
JJSF,J & J Snack Foods Corp,72,FOOD/BEV,Food-Packaged,149.66,-0.1,-0.11,92,6.4,64,46,B,C,B-,71
KHC,The Kraft Heinz Company,72,FOOD/BEV,Food-Packaged,35.85,-1.5,-0.53,7969,2.8,42,52,B,C,E,49
UL,Unilever Plc,72,FOOD/BEV,Food-Packaged,51.78,1.1,0.58,2355,-50.8,65,43,B,B,C+,64
WDC,Western Digital Corp,73,COMPUTER,Computer-Data Storage,52.29,-2.2,-1.15,5047,17.4,69,32,B,B,E,59
LEN,Lennar Corp Cl A,74,BUILDING,Bldg-Resident/Comml,94.83,-2.8,-2.69,1509,-45.2,97,48,B,A,E,82
LGIH,L G I Homes Inc,74,BUILDING,Bldg-Resident/Comml,124.65,-0.8,-0.95,188,-19.3,99,35,B,A,D+,77
LSEA,Landsea Homes Corp,74,BUILDING,Bldg-Resident/Comml,7.15,-1.7,-0.12,39,-41,98,26,B,A,D+,66
MHO,M I Homes Inc,74,BUILDING,Bldg-Resident/Comml,52.09,-1.4,-0.76,422,20.5,95,34,B,A,C+,75
AMEH,Apollo Medical Holdings,75,MEDICAL,Medical-Managed Care,50.71,-1.1,-0.58,291,-30.8,89,90,B,B,C,86
HUM,Humana Inc,75,MEDICAL,Medical-Managed Care,426.21,6.2,24.99,3540,183.4,93,64,B,C,C+,71
PGNY,Progyny Inc,75,MEDICAL,Medical-Managed Care,37.12,-5.1,-1.98,750,-4.6,69,18,B,B,D+,63
EXPD,Expeditors Intl Wash Inc,76,TRANSPRT,Transportation-Logistics,111.07,-2.8,-3.21,1212,-7.2,96,48,B,A,D-,88
BRP,Brp Group Inc,77,INSURANCE,Insurance-Brokers,28.97,-4.2,-1.28,269,-17.8,38,52,B,A,B-,73
