Symbol,Name,Sector,Industry Name,Ind Group Rank,Exchange,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating,,,,,,,,,,,,,,,
ESNT,Essent Group Ltd,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,45.44,-1.3,-0.62,436,-8.8,94,52,A-,B,B+,91,,,,,,,,,,,,,,,
FOA,Finance of AmericaCo ClA,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,3.65,-5.9,-0.23,126,-71.3,8,12,A-,B,D+,25,,,,,,,,,,,,,,,
GHLD,Guild Holdings Co Cl A,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,13.01,2.8,0.36,14,-13.1,12,42,A-,B,C-,49,,,,,,,,,,,,,,,
HMPT,Home Point Capital Inc,FINANCE,Finance-Mrtg&Rel Svc,47,NASDAQ,4.01,-0.2,-0.01,31,-54.8,8,15,A-,B,C,27,,,,,,,,,,,,,,,
IMH,Impac Mortgage Hldgs Inc,FINANCE,Finance-Mrtg&Rel Svc,47,AMEX,0.9,-3.2,-0.03,2,-94.2,32,9,A-,E,D,21,,,,,,,,,,,,,,,
KREF,K K R Real Est Fin Tr,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,21.3,0.4,0.09,245,-18.7,85,75,A-,C,C,86,,,,,,,,,,,,,,,
LDI,Loandepot Inc Cl A,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,4,-10.3,-0.46,2088,111.1,9,5,A-,B,D-,18,,,,,,,,,,,,,,,
NMIH,N M I Holdings Inc Cl A,FINANCE,Finance-Mrtg&Rel Svc,47,NASDAQ,24.84,-3.6,-0.94,815,73.4,96,84,A-,A,A,98,,,,,,,,,,,,,,,
OCN,Ocwen Financial Corp,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,36.78,-0.9,-0.34,16,-51,39,95,A-,E,B-,73,,,,,,,,,,,,,,,
PFSI,Pennymac Financial Svcs,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,59.61,-2.2,-1.37,789,84.9,60,52,A-,B,D-,66,,,,,,,,,,,,,,,
RDN,Radian Group Inc,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,22.34,-0.3,-0.06,911,-34.8,79,52,A-,C,B+,78,,,,,,,,,,,,,,,
RKT,Rocket Companies Inc,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,12.22,-1.1,-0.14,4513,16.6,54,16,A-,B,D-,37,,,,,,,,,,,,,,,
SNFCA,Security Natl Finl Cl A,FINANCE,Finance-Mrtg&Rel Svc,47,NASDAQ,9.49,1,0.09,8,-62.3,51,84,A-,B,C,78,,,,,,,,,,,,,,,
TREE,Lendingtree Inc,FINANCE,Finance-Mrtg&Rel Svc,47,NASDAQ,129.42,3.8,4.79,284,70.5,62,17,A-,C,C+,44,,,,,,,,,,,,,,,
TRTX,Tpg Re Finance Trust Inc,FINANCE,Finance-Mrtg&Rel Svc,47,NYSE,12.54,0.3,0.04,112,-50.4,16,69,A-,E,E,44,,,,,,,,,,,,,,,
