Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
PGC,Peapack Gladstone Finl,15,BANKS,Banks-Northeast,37.63,0.2,0.07,31,6.3,72,93,A+,B,A-,96
PKBK,Parke Bancorp Inc,15,BANKS,Banks-Northeast,23.89,-0.9,-0.21,8,-47,91,91,A+,A,B,95
PNBK,Patriot National Bancorp,15,BANKS,Banks-Northeast,15.23,1.9,0.29,9,121.4,69,98,A+,E,B-,85
TBBK,Bancorp Inc,15,BANKS,Banks-Northeast,30.49,-1.6,-0.49,406,41.6,92,95,A+,A,B+,98
UNTY,Unity Bancorp Inc,15,BANKS,Banks-Northeast,29.27,0.5,0.16,30,93.2,94,95,A+,A,B-,95
UVSP,Univest Financial Corp,15,BANKS,Banks-Northeast,30.34,0.7,0.24,55,4,61,84,A+,B,B-,85
WASH,Washington Tr Bancorp,15,BANKS,Banks-Northeast,56.68,-0.9,-0.5,43,22.1,66,88,A+,C,D-,79
BWB,Bridgewater Bancshares,16,BANKS,Banks-Midwest,17.64,0.8,0.14,18,-26.1,98,81,A+,A,D-,96
FMAO,Farmers & Merchants Banc,16,BANKS,Banks-Midwest,31.18,-1.1,-0.35,0,-99,92,96,A+,B,D-,96
HBNC,Horizon Bancorp Inc (IN),16,BANKS,Banks-Midwest,20.64,-0.3,-0.06,89,-25.6,83,90,A+,C,C-,88
INBK,First Internet Bancorp,16,BANKS,Banks-Midwest,48.99,-2,-0.98,21,-48.8,82,97,A+,C,B-,93
LKFN,Lakeland Financial Corp,16,BANKS,Banks-Midwest,81.02,2.2,1.72,889,670.5,66,91,A+,B,B-,87
MBWM,Mercantile Bank Corp,16,BANKS,Banks-Midwest,38,-0.4,-0.16,15,-48.8,78,91,A+,B,B,91
SMBC,Southern Missouri Bancrp,16,BANKS,Banks-Midwest,53.59,-0.2,-0.11,18,-17.1,84,93,A+,A,A-,95
WTFC,Wintrust Financial Corp,16,BANKS,Banks-Midwest,98.68,-0.1,-0.05,234,-19.3,62,95,A+,C,C+,84
ABC,Amerisourcebergen Corp,17,MEDICAL,Medical-Whlsle Drg/Suppl,137.82,1.3,1.73,886,21.4,85,89,A,B,B+,96
MCK,Mckesson Corp,17,MEDICAL,Medical-Whlsle Drg/Suppl,268.24,3.8,9.78,1434,99.1,87,95,A,C,B,97
OMI,Owens & Minor Inc,17,MEDICAL,Medical-Whlsle Drg/Suppl,41.9,0.9,0.38,504,-10.8,55,89,A,B,C,89
CGBD,T C G Bdc Inc,18,FINANCE,Finance-Commercial Loans,14.13,-0.9,-0.13,166,-22.9,51,82,A,C,B-,78
ESQ,Esquire Financial Hldgs,18,FINANCE,Finance-Commercial Loans,35.96,0.8,0.28,23,17.2,96,97,A,A,A-,99
TSLX,Sixth Street Spclty Lend,18,FINANCE,Finance-Commercial Loans,23.82,-0.8,-0.18,128,-48.8,43,82,A,C,D-,71
MUSA,Murphy USA Inc,20,RETAIL,Retail-Super/Mini Mkts,187.81,-4.7,-9.22,509,231.4,87,96,A,A,B,98
KO,Coca Cola Co,21,FOOD/BEV,Beverages-Non-Alcoholic,61.59,0.7,0.41,16686,12.8,80,89,A,A,C+,95
CIB,Bancolombia Sa Ads,22,BANKS,Banks-Foreign,35.55,-0.1,-0.04,200,-17.4,66,84,A,E,B+,92
CM,Canadian Imprl Bk Comm,22,BANKS,Banks-Foreign,128.46,-0.5,-0.65,293,-34.1,75,92,A,C,B-,91
IBN,Icici Bank Ltd Adr,22,BANKS,Banks-Foreign,21.47,-1.9,-0.43,6550,-25.7,79,91,A,B,B,93
